# Ficha personal de movilidad ETSIIT;
NOMBRE:;Lucia
APELLIDOS:;
DNI:;XXXXXXXX
DIRECCIÓN EN GRANADA:;Avenida Andalucia
DIRECCIÓN FAMILIAR:;Chilluevar
Teléfono personal (móvil):;633535353
Teléfono familiar:;9589242242
Correo UGR:;xxxx@correo.ugr.es
Correo personal:;xxxx@hotmail.es
País de destino:;Portugal
Universidad de destino:;Lisboa
Código ERASMUS (si tiene):;18391
Duración de la beca:;10 meses
Periodo:;XXX
Titulación:;Informatica
Curso actual:;4
Disfruta de otras becas:;no
Tipo de beca de la que disfruta:;erasmus
